Id,MSSubClass,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,YrSold,SalePrice
372,50,17120,1Fam,1.5Fin,4,4,1959,1959,TA,TA,CBlock,NA,NA,0,TA,1120,468,1588,2,0,4,TA,7,Min2,1,Gd,2,680,TA,TA,0,59,0,0,0,2008,134432
373,120,7175,TwnhsE,1Story,6,5,1984,1984,TA,TA,CBlock,Gd,TA,744,TA,752,0,752,1,0,2,TA,4,Typ,0,NA,1,264,TA,TA,353,0,0,0,90,2010,125000
374,20,10634,1Fam,1Story,5,6,1953,1953,TA,TA,PConc,TA,TA,608,TA,1319,0,1319,1,0,3,TA,5,Min2,0,NA,1,270,TA,TA,66,0,0,0,0,2009,123000
375,60,8200,1Fam,2Story,7,5,2003,2004,Gd,TA,PConc,Gd,TA,847,Ex,847,1081,1928,2,1,4,Gd,8,Typ,1,Gd,2,434,TA,TA,100,48,0,0,0,2007,219500
376,30,10020,1Fam,1Story,1,1,1922,1950,Fa,Fa,BrkTil,Fa,Po,683,Gd,904,0,904,0,1,1,Fa,4,Maj1,0,NA,0,0,NA,NA,0,0,0,0,0,2009,61000
377,85,8846,1Fam,SFoyer,5,5,1996,1996,Gd,TA,PConc,Gd,TA,870,Ex,914,0,914,1,0,2,TA,5,Typ,0,NA,2,576,TA,TA,0,0,0,0,0,2006,148000
378,60,11143,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,Gd,TA,1580,Ex,1580,886,2466,3,0,4,Gd,8,Typ,1,Gd,2,610,TA,TA,159,214,0,0,0,2007,340000
379,20,11394,1Fam,1Story,9,2,2010,2010,Gd,TA,PConc,Ex,TA,1856,Ex,1856,0,1856,1,1,1,Ex,8,Typ,1,Ex,3,834,TA,TA,113,0,0,0,0,2010,394432
380,60,8123,1Fam,2Story,6,5,2000,2000,TA,TA,PConc,Gd,TA,982,Ex,1007,793,1800,2,1,3,TA,7,Typ,1,TA,2,463,TA,TA,100,63,0,0,0,2009,179000
381,50,5000,1Fam,1.5Fin,5,6,1924,1950,TA,TA,BrkTil,TA,TA,1026,TA,1026,665,1691,2,0,3,Gd,6,Typ,1,Gd,1,308,TA,TA,0,0,242,0,0,2010,127000
382,20,7200,1Fam,1Story,7,5,2006,2006,Gd,TA,PConc,Gd,Gd,1293,Ex,1301,0,1301,2,0,2,Gd,5,Typ,1,Gd,2,572,TA,TA,216,121,0,0,0,2006,187750
383,60,9245,1Fam,2Story,7,5,2006,2006,Gd,TA,PConc,Gd,TA,939,Ex,939,858,1797,2,1,3,Gd,8,Typ,0,NA,2,639,TA,TA,144,53,0,0,0,2007,213500
384,45,9000,1Fam,1.5Unf,6,3,1928,1950,TA,TA,BrkTil,Fa,Fa,784,TA,784,0,784,1,0,2,TA,5,Typ,0,NA,2,360,Fa,Fa,0,0,91,0,0,2009,76000
385,60,53107,1Fam,2Story,6,5,1992,1992,Gd,TA,PConc,Gd,TA,1580,Ex,1079,874,1953,2,1,3,Gd,9,Typ,2,Fa,2,501,TA,TA,216,231,0,0,0,2007,240000
386,120,3182,TwnhsE,1Story,8,5,2004,2005,Gd,TA,PConc,Gd,TA,1256,Ex,1269,0,1269,2,0,2,Gd,6,Typ,1,TA,2,430,TA,TA,146,20,0,0,144,2010,192000
387,50,8410,1Fam,1.5Fin,5,3,1910,1996,TA,Fa,PConc,TA,TA,658,TA,658,526,1184,1,0,5,TA,8,Typ,0,NA,0,0,NA,NA,0,151,0,0,0,2006,81000
388,80,7200,1Fam,SLvl,6,6,1976,1976,TA,TA,CBlock,TA,TA,1041,Ex,1125,0,1125,1,0,3,TA,6,Typ,1,Fa,1,352,TA,TA,296,0,0,0,0,2009,125000
389,20,9382,1Fam,1Story,7,5,1999,2000,Gd,TA,PConc,Gd,TA,1468,Ex,1479,0,1479,2,0,3,Gd,6,Typ,0,NA,2,577,TA,TA,120,25,0,0,0,2008,191000
390,60,12474,1Fam,2Story,10,5,2007,2008,Ex,TA,PConc,Ex,TA,1682,Ex,1742,590,2332,2,1,3,Ex,9,Typ,1,Ex,3,846,TA,TA,196,134,0,0,0,2008,426000
391,50,8405,1Fam,1.5Fin,5,8,1900,1950,TA,TA,BrkTil,TA,Gd,861,Ex,961,406,1367,1,0,4,TA,7,Typ,0,NA,1,384,TA,TA,0,130,112,0,0,2008,119000
392,60,12209,1Fam,2Story,6,5,2001,2002,TA,TA,PConc,Ex,TA,804,Ex,804,1157,1961,2,1,3,Gd,7,Typ,1,TA,2,560,TA,TA,125,192,0,0,0,2009,215000
393,20,8339,1Fam,1Story,5,7,1959,1959,TA,TA,Slab,NA,NA,0,TA,882,0,882,1,0,3,TA,5,Typ,0,NA,1,294,TA,TA,0,0,0,0,0,2007,106500
394,30,7446,1Fam,1Story,4,5,1941,1950,TA,TA,CBlock,TA,TA,788,TA,788,0,788,1,0,2,TA,4,Typ,2,TA,0,0,NA,NA,0,0,0,0,0,2006,100000
395,50,10134,1Fam,1.5Fin,5,6,1940,1950,TA,TA,CBlock,TA,TA,735,Gd,735,299,1034,1,0,2,TA,5,Typ,0,NA,1,240,TA,TA,0,39,0,0,0,2007,109000
396,20,9571,1Fam,1Story,5,6,1956,1956,TA,TA,CBlock,TA,TA,1144,TA,1144,0,1144,1,0,3,TA,6,Typ,0,NA,1,596,TA,TA,44,0,0,0,0,2010,129000
397,20,7200,1Fam,1Story,5,5,1972,1972,TA,TA,CBlock,TA,TA,894,TA,894,0,894,1,0,2,TA,6,Typ,0,NA,2,600,TA,TA,215,0,0,0,0,2009,123000
398,60,7590,1Fam,2Story,5,5,1962,1962,TA,TA,CBlock,TA,TA,864,TA,876,936,1812,2,0,4,TA,8,Typ,1,TA,1,264,TA,TA,0,168,0,0,0,2007,169500
399,30,8967,1Fam,1Story,5,2,1920,1950,TA,Fa,BrkTil,Fa,Po,961,Gd,1077,0,1077,1,0,2,TA,6,Maj2,0,NA,1,338,Po,Po,0,0,0,0,0,2007,67000
400,60,8125,1Fam,2Story,7,5,2006,2007,Gd,TA,PConc,Gd,TA,1092,Ex,1112,438,1550,2,0,2,Gd,7,Typ,0,NA,2,438,TA,TA,0,168,0,0,0,2009,241000
401,120,14963,TwnhsE,1Story,8,5,1996,1996,Gd,TA,PConc,Gd,TA,1260,Ex,1288,0,1288,1,1,1,Ex,4,Typ,2,Gd,2,500,TA,TA,120,30,0,0,224,2008,245500
402,20,8767,1Fam,1Story,7,5,2005,2005,Gd,TA,PConc,Gd,TA,1310,Ex,1310,0,1310,2,0,3,Gd,6,Typ,1,Gd,2,400,TA,TA,0,0,0,0,0,2006,164990
403,30,10200,1Fam,1Story,5,8,1940,1997,TA,TA,PConc,TA,TA,672,Ex,672,0,672,1,0,2,TA,4,Typ,0,NA,1,240,TA,TA,168,0,0,0,0,2008,108000
404,60,12090,1Fam,2Story,8,5,1998,1998,Gd,TA,PConc,Gd,TA,1141,Gd,1165,1098,2263,2,1,4,Gd,10,Typ,1,TA,2,420,TA,TA,144,123,0,0,0,2006,258000
405,60,10364,1Fam,2Story,6,5,1995,1996,TA,TA,PConc,Gd,TA,806,Gd,806,766,1572,2,1,3,TA,7,Typ,1,TA,2,373,TA,TA,0,40,0,0,0,2007,168000
406,20,9991,1Fam,1Story,4,4,1976,1993,TA,TA,CBlock,TA,TA,1281,Ex,1620,0,1620,2,0,3,TA,8,Min1,1,TA,2,490,TA,TA,120,78,0,0,0,2009,150000
407,50,10480,1Fam,1.5Fin,6,5,1936,1950,TA,TA,BrkTil,TA,TA,1064,Ex,1166,0,1639,1,0,3,TA,6,Maj2,0,NA,1,240,TA,TA,0,0,0,0,0,2008,115000
408,70,15576,1Fam,2Story,6,7,1915,1976,TA,TA,BrkTil,Gd,TA,840,Ex,840,840,1680,2,0,4,TA,8,Typ,0,NA,1,308,TA,TA,0,0,160,0,0,2008,177000
409,60,14154,1Fam,2Story,7,5,2006,2006,Gd,TA,PConc,Ex,Gd,1063,Ex,1071,1101,2172,2,1,3,Gd,9,Typ,1,Gd,3,947,TA,TA,192,62,0,0,0,2007,280000
410,60,10800,1Fam,2Story,8,5,2007,2008,Gd,TA,PConc,Ex,TA,1034,Ex,1050,1028,2078,2,1,3,Ex,8,Typ,1,Gd,3,836,TA,TA,0,102,0,0,0,2008,339750
411,20,9571,1Fam,1Story,5,3,1958,1958,TA,Fa,CBlock,TA,Fa,1276,TA,1276,0,1276,1,0,3,TA,5,Mod,0,NA,1,350,TA,TA,0,0,0,0,0,2009,60000
412,190,34650,2fmCon,1Story,5,5,1955,1955,TA,TA,CBlock,TA,TA,1056,TA,1056,0,1056,1,0,3,TA,5,Typ,0,NA,2,572,TA,TA,264,0,0,0,0,2006,145000
413,20,4403,1Fam,1Story,7,5,2009,2009,Ex,TA,PConc,Ex,TA,1470,Ex,1478,0,1478,2,1,2,Gd,7,Typ,1,Gd,2,484,TA,TA,0,144,0,0,0,2010,222000
414,30,8960,1Fam,1Story,5,6,1927,1950,TA,TA,CBlock,TA,TA,1008,Gd,1028,0,1028,1,0,2,TA,5,Typ,1,Gd,2,360,TA,TA,0,0,130,0,0,2010,115000
415,60,11228,1Fam,2Story,7,5,1993,1993,Gd,TA,PConc,Gd,TA,1080,Ex,1080,1017,2097,2,1,3,Gd,9,Typ,1,TA,3,678,TA,TA,196,187,0,0,0,2008,228000
416,20,8899,1Fam,1Story,7,5,2007,2007,Gd,TA,PConc,Gd,TA,1340,Ex,1340,0,1340,2,0,3,Gd,6,Typ,0,NA,2,396,TA,TA,100,30,0,0,0,2007,181134
417,60,7844,1Fam,2Story,6,7,1978,1978,TA,TA,CBlock,TA,TA,672,TA,672,728,1400,1,1,3,TA,6,Typ,1,TA,2,440,TA,TA,0,0,0,0,0,2006,149500
418,70,22420,1Fam,2Story,6,6,1918,1950,TA,TA,BrkTil,Gd,TA,1370,TA,1370,1254,2624,2,1,4,TA,10,Typ,1,Gd,3,864,TA,TA,0,0,0,0,0,2007,239000
419,50,8160,1Fam,1.5Fin,5,6,1940,1950,TA,TA,BrkTil,TA,TA,756,Fa,756,378,1134,1,1,3,TA,7,Typ,0,NA,1,240,TA,TA,0,0,0,0,0,2007,126000
420,20,8450,1Fam,1Story,5,6,1968,1968,TA,TA,CBlock,TA,TA,1056,Ex,1056,0,1056,1,0,3,TA,6,Typ,1,Fa,1,304,TA,TA,0,85,184,0,0,2010,142000
421,90,7060,Duplex,SFoyer,7,5,1997,1998,TA,Gd,PConc,Gd,Gd,1344,Ex,1344,0,1344,2,0,2,TA,8,Typ,0,NA,4,784,TA,TA,0,0,0,0,0,2008,206300
422,20,16635,1Fam,1Story,6,7,1977,2000,Gd,TA,CBlock,Gd,TA,1602,Gd,1602,0,1602,2,0,3,Gd,8,Typ,1,TA,2,529,TA,TA,240,0,0,0,0,2009,215000
423,20,21750,1Fam,1Story,5,5,1954,1954,TA,TA,CBlock,TA,TA,988,Ex,988,0,988,1,0,2,TA,4,Typ,0,NA,2,520,TA,TA,0,0,0,0,0,2008,113000
424,60,9200,1Fam,2Story,8,5,1998,1998,Gd,TA,PConc,Gd,TA,1470,Gd,1470,1160,2630,2,1,4,Gd,8,Typ,1,TA,3,696,TA,TA,0,66,0,0,0,2008,315000
425,20,9000,1Fam,1Story,6,5,1956,1956,TA,TA,CBlock,Gd,TA,1196,Gd,1196,0,1196,1,0,2,TA,6,Typ,1,Gd,1,297,TA,TA,0,44,0,0,0,2008,139000
426,60,3378,1Fam,2Story,7,8,1946,1992,TA,Gd,CBlock,TA,TA,651,Gd,707,682,1389,1,1,3,TA,6,Typ,2,Gd,1,240,TA,TA,0,0,126,0,0,2009,135000
427,80,12800,1Fam,SLvl,7,5,1989,1989,Gd,TA,PConc,Gd,TA,1518,Gd,1644,0,1644,2,0,2,Gd,5,Typ,1,TA,2,569,TA,TA,80,0,0,0,396,2009,275000
428,20,8593,1Fam,1Story,4,6,1957,1957,TA,TA,CBlock,TA,TA,907,Ex,907,0,907,1,0,3,TA,5,Typ,0,NA,1,352,TA,TA,0,0,0,0,0,2008,109008
429,20,6762,1Fam,1Story,7,5,2007,2007,Gd,TA,PConc,Gd,TA,1208,Ex,1208,0,1208,2,0,2,Gd,6,Typ,0,NA,2,628,TA,TA,105,54,0,0,0,2007,195400
430,20,11457,1Fam,1Story,6,5,1988,1988,TA,TA,CBlock,Gd,TA,1392,TA,1412,0,1412,2,0,3,Gd,6,Typ,1,TA,2,576,TA,TA,0,0,169,0,0,2009,175000
431,160,1680,Twnhs,2Story,6,5,1971,1971,TA,TA,CBlock,TA,TA,483,TA,483,504,987,1,1,2,TA,4,Typ,0,NA,1,264,TA,TA,0,0,0,0,0,2008,85400
432,50,5586,1Fam,1.5Fin,6,7,1920,1998,TA,TA,BrkTil,TA,TA,901,Gd,1088,110,1198,1,0,4,TA,7,Typ,0,NA,0,0,NA,NA,0,98,0,0,0,2008,79900
433,160,1920,TwnhsE,2Story,5,5,1971,1971,TA,TA,CBlock,TA,TA,765,Ex,765,600,1365,1,1,2,TA,6,Min1,0,NA,2,440,TA,TA,240,36,0,0,0,2007,122500
434,60,10839,1Fam,2Story,6,5,1997,1998,TA,TA,PConc,Gd,TA,926,Ex,926,678,1604,2,1,3,TA,7,Typ,1,TA,2,470,TA,TA,0,36,0,0,0,2008,181000
435,180,1890,Twnhs,SFoyer,4,7,1972,1972,TA,Gd,CBlock,Gd,TA,630,Gd,630,0,630,1,0,1,TA,3,Typ,0,NA,0,0,NA,NA,88,0,0,0,0,2008,81000
436,60,10667,1Fam,2Story,7,6,1996,1996,Gd,TA,PConc,Gd,TA,799,Ex,827,834,1661,2,1,3,Gd,6,Typ,1,TA,2,550,TA,TA,158,61,0,0,0,2009,212000
437,50,4400,1Fam,1.5Fin,6,8,1920,1950,TA,TA,BrkTil,Fa,TA,648,TA,734,384,1118,1,0,2,TA,6,Typ,0,NA,2,440,TA,TA,0,0,0,0,0,2006,116000
438,45,6000,1Fam,1.5Unf,6,7,1926,2004,Gd,TA,PConc,TA,TA,884,Gd,904,0,904,1,0,2,TA,4,Typ,0,NA,1,180,TA,TA,0,0,105,0,0,2009,119000
439,30,4280,1Fam,1Story,5,6,1913,2002,TA,TA,PConc,TA,TA,440,TA,694,0,694,1,0,2,Gd,4,Typ,1,Gd,1,352,Gd,TA,0,0,34,0,0,2007,90350
440,50,12354,1Fam,1.5Fin,6,8,1920,2000,TA,TA,BrkTil,TA,Fa,684,Gd,684,512,1196,1,0,3,Gd,7,Typ,0,NA,2,528,TA,TA,0,46,0,0,0,2009,110000
441,20,15431,1Fam,1Story,10,5,2008,2008,Ex,TA,PConc,Ex,TA,3094,Ex,2402,0,2402,2,0,2,Ex,10,Typ,2,Gd,3,672,TA,TA,0,72,0,0,170,2009,555000
442,90,12108,Duplex,1Story,4,4,1955,1955,TA,TA,CBlock,TA,TA,1440,TA,1440,0,1440,2,0,4,Fa,8,Typ,0,NA,0,0,NA,NA,0,0,0,0,0,2008,118000
443,50,6240,1Fam,1.5Fin,5,7,1930,1992,TA,TA,PConc,TA,TA,1078,TA,1128,445,1573,2,0,3,TA,8,Typ,1,Gd,2,360,TA,TA,0,0,0,0,0,2008,162900
444,120,3922,TwnhsE,1Story,7,5,2006,2007,Gd,TA,PConc,Ex,TA,1258,Ex,1258,0,1258,2,0,2,Gd,6,Typ,1,Gd,3,648,TA,TA,144,16,0,0,0,2007,172500
445,60,8750,1Fam,2Story,7,5,1994,1995,Gd,Gd,PConc,Gd,TA,915,Ex,933,975,1908,2,1,4,Gd,8,Typ,1,TA,2,493,TA,TA,144,133,0,0,0,2008,210000
446,20,9855,1Fam,1Story,6,5,1956,1956,TA,TA,CBlock,TA,TA,1436,Fa,1689,0,1689,1,0,3,TA,7,Typ,1,Gd,2,480,TA,TA,0,0,0,0,0,2009,127500
447,20,16492,1Fam,1Story,6,6,1966,2002,Gd,TA,CBlock,TA,TA,1517,Ex,1888,0,1888,2,1,2,Gd,6,Mod,1,Gd,2,578,TA,TA,0,0,0,0,0,2010,190000
448,60,11214,1Fam,2Story,7,5,1998,1999,Gd,TA,PConc,Gd,TA,930,Gd,956,930,1886,2,1,4,Gd,10,Typ,1,TA,2,431,TA,TA,89,0,0,0,0,2006,199900
449,50,8600,1Fam,1.5Fin,6,6,1937,1950,TA,TA,BrkTil,TA,TA,780,TA,780,596,1376,2,0,3,TA,7,Typ,1,Gd,1,198,TA,TA,0,0,0,0,0,2006,119500
450,50,6000,1Fam,1.5Fin,3,7,1948,2002,TA,Gd,CBlock,TA,TA,649,Ex,679,504,1183,1,1,2,TA,6,Typ,0,NA,1,308,TA,TA,0,176,0,0,0,2007,120000
451,30,5684,1Fam,1Story,6,8,1930,2005,TA,TA,BrkTil,TA,TA,813,Ex,813,0,813,1,0,2,Gd,5,Typ,0,NA,1,270,Fa,Fa,0,113,0,0,0,2006,110000
452,20,70761,1Fam,1Story,7,5,1975,1975,TA,TA,CBlock,Gd,TA,1533,TA,1533,0,1533,2,0,2,Gd,5,Typ,2,TA,2,576,TA,TA,200,54,0,0,0,2006,280000
453,60,9303,1Fam,2Story,6,5,1996,1997,Gd,TA,PConc,Ex,TA,872,Ex,888,868,1756,2,1,3,TA,7,Typ,0,NA,2,422,TA,TA,144,122,0,0,0,2007,204000
454,60,9000,1Fam,2Story,8,5,2008,2008,Gd,TA,PConc,Gd,TA,768,Ex,786,804,1590,2,1,3,Gd,6,Typ,0,NA,2,676,TA,TA,0,30,0,0,0,2009,210000
455,90,9297,Duplex,1Story,5,5,1976,1976,TA,TA,CBlock,TA,TA,1728,TA,1728,0,1728,2,0,4,TA,8,Typ,0,NA,2,560,TA,TA,0,0,0,0,0,2006,188000
456,20,9600,1Fam,1Story,7,6,1973,1973,TA,TA,CBlock,TA,TA,1242,Fa,1242,0,1242,1,1,3,TA,6,Typ,1,TA,2,528,TA,TA,0,0,0,0,0,2007,175500
457,70,4571,1Fam,2Story,5,5,1916,1950,TA,TA,BrkTil,TA,TA,624,Fa,624,720,1344,1,0,4,TA,7,Typ,0,NA,3,513,Fa,Fa,0,0,96,0,0,2008,98000
458,20,53227,1Fam,1Story,4,6,1954,1994,TA,TA,CBlock,Gd,TA,1364,Ex,1663,0,1663,1,0,2,Gd,6,Min1,2,Gd,2,529,TA,TA,224,137,0,0,0,2008,256000
459,70,5100,1Fam,2Story,8,7,1925,1996,TA,Gd,PConc,TA,TA,588,Fa,833,833,1666,1,0,3,Gd,7,Typ,1,Gd,1,228,TA,TA,192,63,0,0,0,2008,161000
460,50,7015,1Fam,1.5Fin,5,4,1950,1950,TA,TA,CBlock,TA,TA,709,TA,979,224,1203,1,0,3,Gd,5,Typ,1,TA,1,352,TA,TA,0,0,248,0,0,2009,110000
461,60,8004,1Fam,2Story,8,5,2009,2009,Gd,TA,PConc,Gd,TA,832,Ex,832,1103,1935,2,1,3,TA,8,Typ,0,NA,2,552,TA,TA,0,150,0,0,0,2009,263435
462,70,7200,1Fam,2Story,7,9,1936,2007,Gd,Gd,PConc,Gd,Gd,560,Ex,575,560,1135,1,0,3,Gd,6,Typ,0,NA,2,576,TA,TA,256,0,0,0,0,2009,155000
463,20,8281,1Fam,1Story,5,5,1965,1965,TA,TA,CBlock,TA,TA,864,Gd,864,0,864,1,0,3,TA,5,Typ,1,Po,1,360,TA,TA,0,0,236,0,0,2009,62383
464,70,11988,1Fam,2Story,6,7,1934,1995,TA,TA,CBlock,TA,TA,715,Fa,849,811,1660,1,1,3,TA,6,Typ,1,Gd,1,240,TA,TA,0,0,0,0,0,2008,188700
465,20,8430,1Fam,1Story,5,5,1978,1978,TA,TA,CBlock,Gd,TA,1040,TA,1040,0,1040,2,0,3,TA,5,Typ,0,NA,0,0,NA,NA,0,0,0,0,0,2009,124000
466,120,3072,TwnhsE,1Story,7,5,2004,2004,Gd,TA,PConc,Gd,TA,1375,Ex,1414,0,1414,2,0,2,Gd,6,Typ,1,TA,2,398,TA,TA,144,20,0,0,0,2006,178740
467,20,10628,1Fam,1Story,7,5,1970,1970,TA,Gd,CBlock,TA,Gd,1277,TA,1277,0,1277,1,0,2,TA,5,Typ,1,Po,2,526,TA,TA,0,0,0,0,176,2007,167000
468,70,9480,1Fam,2Story,5,7,1942,1995,TA,TA,CBlock,TA,TA,728,Ex,888,756,1644,1,1,3,Gd,7,Typ,2,Gd,1,312,TA,TA,168,0,0,0,0,2007,146500
469,20,11428,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,Gd,TA,1626,Ex,1634,0,1634,2,0,3,Gd,7,Typ,1,Gd,3,866,TA,TA,0,44,0,0,0,2007,250000
470,60,9291,1Fam,2Story,6,5,1993,1993,Gd,TA,PConc,Gd,TA,832,Ex,832,878,1710,2,1,3,Gd,7,Typ,0,NA,2,506,TA,TA,144,70,0,0,0,2008,187000
471,120,6820,TwnhsE,1Story,8,5,1985,1985,Gd,TA,PConc,Gd,TA,1488,TA,1502,0,1502,1,1,1,Gd,4,Typ,0,NA,2,528,TA,TA,0,54,0,0,140,2010,212000
472,60,11952,1Fam,2Story,7,6,1977,1977,TA,TA,CBlock,Gd,TA,808,TA,1161,808,1969,2,1,3,TA,8,Typ,1,Gd,2,534,TA,TA,0,0,0,0,276,2007,190000
473,180,3675,TwnhsE,SLvl,6,5,2005,2005,TA,TA,PConc,Gd,TA,547,Ex,1072,0,1072,1,0,2,TA,5,Typ,0,NA,2,525,TA,TA,0,28,0,0,0,2008,148000
474,20,14977,1Fam,1Story,8,5,2006,2007,Gd,TA,PConc,Ex,TA,1976,Ex,1976,0,1976,2,0,2,Gd,7,Typ,1,Ex,3,908,TA,TA,250,63,0,0,0,2007,440000
475,120,5330,TwnhsE,1Story,8,5,2000,2000,Gd,TA,PConc,Gd,TA,1494,Ex,1652,0,1652,2,0,2,Ex,6,Typ,0,NA,2,499,TA,TA,96,48,0,0,0,2007,251000
476,20,8480,1Fam,1Story,5,6,1963,1963,TA,TA,CBlock,TA,TA,970,TA,970,0,970,1,0,2,TA,5,Typ,0,NA,2,624,TA,TA,0,24,0,0,192,2007,132500
477,20,13125,1Fam,1Story,6,5,1997,1998,TA,TA,PConc,Gd,TA,1478,Ex,1493,0,1493,2,0,3,Gd,7,Typ,1,TA,2,508,TA,TA,140,39,0,0,0,2008,208900
478,60,13693,1Fam,2Story,9,5,2006,2006,Ex,TA,PConc,Gd,TA,2153,Ex,2069,574,2643,2,1,3,Ex,9,Typ,1,Gd,3,694,TA,TA,414,84,0,0,0,2007,380000
479,20,10637,1Fam,1Story,8,5,2007,2008,Gd,TA,PConc,Ex,TA,1705,Ex,1718,0,1718,2,0,3,Gd,7,Typ,1,Gd,3,826,TA,TA,208,44,0,0,0,2009,297000
480,30,5925,1Fam,1Story,4,7,1937,2000,TA,TA,BrkTil,Fa,TA,907,TA,1131,0,1131,1,0,2,TA,7,Typ,0,NA,2,672,TA,TA,0,72,0,0,0,2007,89471
481,20,16033,1Fam,1Story,9,5,2004,2005,Gd,TA,PConc,Ex,TA,1833,Ex,1850,0,1850,2,0,3,Gd,8,Typ,1,Gd,3,772,TA,TA,519,112,0,0,0,2006,326000
482,20,11846,1Fam,1Story,9,5,2003,2004,Gd,TA,PConc,Ex,TA,1792,Ex,1792,0,1792,2,0,2,Ex,6,Typ,1,Gd,3,874,TA,TA,206,49,0,0,0,2006,374000
483,70,2500,1Fam,2Story,7,8,1915,2005,Gd,TA,PConc,TA,TA,910,Ex,916,910,1826,1,1,4,Ex,7,Min2,1,Gd,1,164,Fa,Fa,0,0,0,0,0,2009,155000
484,120,4500,Twnhs,1Story,6,5,1998,1998,TA,TA,PConc,Ex,TA,1216,Ex,1216,0,1216,2,0,2,TA,5,Typ,0,NA,2,402,TA,TA,0,125,0,0,0,2006,164000
485,20,7758,1Fam,1Story,5,7,1962,2001,TA,Gd,CBlock,TA,TA,999,Gd,999,0,999,1,0,3,Gd,6,Typ,0,NA,1,264,TA,TA,0,132,0,0,0,2007,132500
486,20,9600,1Fam,1Story,5,7,1950,2007,Gd,TA,CBlock,TA,TA,1113,Gd,1113,0,1113,1,0,3,Gd,5,Typ,1,Gd,1,264,TA,TA,0,80,120,0,0,2009,147000
487,20,10289,1Fam,1Story,5,7,1965,1965,TA,TA,CBlock,TA,TA,1073,TA,1073,0,1073,1,1,3,TA,6,Typ,0,NA,2,515,TA,TA,0,0,0,0,0,2007,156000
488,20,12243,1Fam,1Story,5,6,1971,1971,TA,TA,CBlock,Gd,TA,1484,Gd,1484,0,1484,2,0,3,TA,7,Typ,1,TA,2,487,TA,TA,224,0,0,0,180,2007,175000
489,190,10800,2fmCon,1.5Fin,5,4,1900,1970,TA,Fa,CBlock,TA,Fa,954,TA,1766,648,2414,2,0,3,TA,10,Mod,1,Gd,2,520,TA,Fa,142,0,0,0,0,2006,160000
490,180,1526,Twnhs,SFoyer,4,8,1970,2002,TA,Gd,CBlock,Gd,TA,630,TA,630,0,630,1,0,1,Gd,3,Typ,0,NA,1,286,TA,TA,0,0,0,0,0,2009,86000
491,160,2665,TwnhsE,2Story,5,6,1976,1976,TA,TA,PConc,Gd,TA,264,TA,616,688,1304,1,1,3,TA,4,Typ,1,Gd,1,336,TA,TA,141,24,0,0,0,2008,115000
492,50,9490,1Fam,1.5Fin,6,7,1941,1950,TA,TA,CBlock,TA,TA,806,TA,958,620,1578,1,0,3,Fa,5,Typ,2,TA,1,240,TA,TA,0,0,32,0,0,2006,133000
493,60,15578,1Fam,2Story,6,5,2006,2006,Gd,TA,PConc,Gd,TA,728,Gd,728,728,1456,2,1,3,TA,8,Typ,0,NA,2,429,TA,TA,0,0,0,0,0,2006,172785
494,20,7931,1Fam,1Story,5,6,1960,1960,TA,TA,CBlock,TA,TA,1269,TA,1269,0,1269,1,1,3,TA,6,Typ,1,Fa,1,308,TA,TA,0,0,0,0,0,2008,155000
495,30,5784,1Fam,1Story,5,8,1938,1996,TA,TA,BrkTil,Fa,TA,190,Gd,886,0,886,1,0,2,TA,4,Typ,0,NA,1,273,TA,TA,144,20,80,0,0,2009,91300
496,30,7879,1Fam,1Story,4,5,1920,1950,TA,TA,CBlock,TA,TA,720,TA,720,0,720,1,0,2,TA,4,Typ,0,NA,0,0,NA,NA,0,523,115,0,0,2009,34900
497,20,12692,1Fam,1Story,8,5,1992,1993,Gd,TA,PConc,Gd,TA,3200,Ex,3228,0,3228,3,0,4,Gd,10,Typ,1,Gd,2,546,TA,TA,264,75,291,0,0,2007,430000
498,50,9120,1Fam,1.5Fin,7,6,1925,1950,TA,Gd,PConc,TA,TA,1026,Ex,1133,687,1820,2,0,4,TA,8,Typ,0,NA,1,240,TA,TA,0,100,0,0,0,2008,184000
499,20,7800,1Fam,1Story,5,7,1967,2004,TA,TA,PConc,TA,TA,864,Ex,899,0,899,1,0,3,Gd,5,Typ,0,NA,1,288,TA,TA,64,0,0,0,0,2009,130000
500,20,7535,1Fam,1Story,5,7,1958,1985,TA,TA,CBlock,TA,TA,912,Fa,912,0,912,1,0,2,TA,5,Typ,0,NA,1,297,TA,TA,12,285,0,0,0,2007,120000
501,160,1890,Twnhs,2Story,6,5,1973,1973,TA,TA,CBlock,TA,TA,672,TA,672,546,1218,1,1,3,TA,7,Typ,0,NA,1,264,TA,TA,144,28,0,0,0,2007,113000
